id,Название,Цена,Цена без скидки
295338,"Конфеты SNICKERS Minis с арахисом, карамелью и нугой, весовые",19998,19998
298146,"Печенье OREO Original, 95г",6999,9999
298158,"Рулет бисквитный ЯШКИНО Вишневый, 200г",8499,9499
301077,"Жевательная резинка ORBIT Сладкая мята XXL, 20,4г",4499,5999
301078,"Жевательная резинка ORBIT Клубника банан XXL, 20,4г",4499,5999
303389,"Торт MIREL Пломбирный, 750г",53999,53999
303752,"Торт MIREL Тирамису, 750г",56999,56999
304169,"Жевательная резинка WRIGLEY'S Spearmint, 13г",2499,3499
304171,"Жевательная резинка ORBIT Белоснежный Bubblemint, 13,6г",4499,4499
305157,"Пряники ЯШКИНО Мятные, 350г",7999,10999
306266,"Конфеты РОТ ФРОНТ Птичье молоко сливочно-ванильные, 225г",15999,24999
309331,"Мармелад жевательный FRUIT-TELLA Звери микс, 70г",5499,7499
310193,"Карамель CHUPA CHUPS со вкусом мороженого, 12г",999,1499
310796,"Вафли ЯШКИНО Глазированные с орешками, 200г",5999,8999
322630,"Драже жевательное MENTOS ассорти фруктовых вкусов, 37г",4499,5999
324045,"Карамель CHUPA CHUPS XXL Трио, 29г",3499,3499
324431,"Драже жевательное MENTOS со вкусом мяты, 37,5г",4499,5999
324755,"Конфеты КРАСНЫЙ ОКТЯБРЬ Красная шапочка, 250г",20999,37499
325930,"Конфеты TWIX Minis с печеньем и карамелью, покрытые молочным шоколадом, весовые",19998,19998
326021,"Батончик АККОНД Прохлада с кокосом, 40г",2499,2999
326092,"Конфеты KONTI Золотая лилия, весовые",9998,9998
335775,"Конфеты 365 ДНЕЙ Молочные со сливочным вкусом, 250г",6999,6999
337726,"Шоколадный батончик PICNIC BIG, 76г",6999,7999
338397,"Халва 365 ДНЕЙ Подсолнечная, 250г",3499,3499
339216,"Жевательная резинка DIROL Клубника и черешня, без сахара, 13,6г",2999,3999
340178,"Шоколад темный RITTER SPORT Мята, 100г",14999,18999
342310,"Торт ФИЛИ-БЕЙКЕР Медовик домашний, 800г",55499,70999
346895,"Набор пирожных ВЕНСКИЙ ЦЕХ Корзиночка ягодная, 260г",33999,33999
348310,"Батончик СЛАВЯНКА Обыкновенное чудо классическое, 40г",2499,3499
348314,"Батончик СЛАВЯНКА Обыкновенное чудо сливочное, 55г",3499,4999
349126,"Печенье ЮБИЛЕЙНОЕ молочное с глазурью, 116г",4999,6499
349128,"Печенье ЮБИЛЕЙНОЕ витаминизированное молочное, 112г",4999,6499
349972,"Шоколад молочный MILKA с карамельной начинкой, 90г",8499,13999
354013,"Козинак ТИМОША батончик подсолнечный, 40г",1499,1499
354553,"Жевательная резинка DIROL Арбузно-дынный коктейль, 13,6г",2499,3999
354555,"Жевательная резинка DIROL Мята и мелисса, 13,6г",2999,3999
355227,"Жевательная резинка DIROL Морозная мята, 13,6г",2499,3999
355720,"Пирожное LOTTE Choco Pie cacao бисквитное в шоколадной глазури, 12х28г",16499,25999
356395,"Конфеты КОМИЛЬФО Миндаль и крем-карамель, 116г",27499,49999
358619,"Профитроли MIREL с пломбирным кремом, 180г",17999,17999
